,Best_Parameters,Model,Test_score,Train_score
0,[],Linear Regression,0.8258992450442687,0.8881740300037104
1,{'alpha': 0.001},Lasso,0.8222240740713286,0.8882169837786025
2,{'n_neighbors': 2},KNN,0.732251086478262,0.7964197069648057
3,{'alpha': 10},Ridge,0.8453072610231764,0.888703265775048
4,{'alpha': 10},Polynomial,0.9922420944871744,0.9999794294161534
5,"{'C': 0.5, 'max_iter': 50000}",LinearSVC,0.794028706962846,0.8190359392311307
6,"{'C': 250, 'max_iter': 60000}",SVC-linear,0.7658276814939102,0.803867163359246
7,"{'C': 10, 'degree': 2}",SVC-polynomial,0.9110839860958947,0.9793026329675097
8,"{'C': 500, 'gamma': 0.01}",SVC-rbf,0.9379593761713896,0.9833817772223185
9,"{'alpha': 0.001, 'penalty': 'l2'}",SGD,0.8605525757522432,0.8721537903748976
10,[],Decision Tree,0.7003239997034321,0.9050638304938221
